1,4,71,8,0,1.0,13,1,0,0,0,A
1,3,72,7,0,2.0,13,1,0,0,0,A
1,3,72,7,0,3.0,13,1,0,0,0,A
1,3,72,8,0,4.0,13,1,0,0,0,A
1,3,73,8,0,5.0,13,1,0,0,0,A
1,3,72,8,0,6.0,12,1,0,0,0,A
1,3,73,8,0,7.0,13,1,0,0,0,A
1,3,73,8,0,8.0,13,1,0,0,0,A
1,3,72,8,0,9.0,14,1,0,0,0,A
1,3,72,8,0,10.0,13,1,0,0,0,A
1,3,73,8,0,11.0,12,1,0,0,0,A
1,3,73,8,0,12.0,12,1,0,0,0,A
1,3,73,8,0,13.0,12,1,0,0,0,A
1,3,73,8,0,14.0,12,1,0,0,0,A
1,3,73,8,0,15.0,12,1,0,0,0,A
1,3,73,8,0,16.0,12,1,0,0,0,A
1,3,73,8,0,17.0,12,1,0,0,0,A
1,3,71,9,0,18.0,14,0,0,0,0,A
1,3,72,8,0,19.0,13,1,0,0,0,A
1,3,72,8,0,20.0,13,1,0,0,0,A
1,3,72,8,0,21.0,12,1,0,0,0,A
1,3,72,9,0,22.0,14,0,0,0,0,A
1,3,72,8,0,23.0,12,1,0,0,0,A
1,3,73,8,0,24.0,12,1,0,0,0,A
1,3,72,8,0,25.0,13,1,0,0,0,A
1,3,73,8,0,26.0,12,1,0,0,0,A
1,3,72,8,0,27.0,13,1,0,0,0,A
1,3,73,8,0,28.0,12,1,0,0,0,A
1,3,73,8,0,29.0,12,1,0,0,0,A
1,3,72,8,0,30.0,13,1,0,0,0,A
1,3,73,8,0,31.0,12,1,0,0,0,A
1,3,73,8,0,32.0,12,1,0,0,0,A
1,3,72,8,0,33.0,12,1,0,0,0,A
1,3,73,8,0,34.0,12,1,0,0,0,A
1,3,72,8,0,35.0,12,1,0,0,0,A
1,3,72,8,0,36.0,13,1,0,0,0,A
1,3,71,8,0,37.0,13,1,0,0,0,A
1,3,72,8,0,38.0,12,1,0,0,0,A
1,3,71,9,0,39.0,14,0,0,0,0,A
1,3,71,9,0,40.0,14,0,0,0,0,A
1,3,73,8,0,41.0,12,1,0,0,0,A
1,3,73,8,0,42.0,12,1,0,0,0,A
1,3,72,8,0,43.0,13,1,0,0,0,A
1,3,71,9,0,44.0,13,0,0,0,0,A
1,3,72,8,0,45.0,12,1,0,0,0,A
1,3,71,9,0,46.0,13,1,0,0,0,A
1,3,72,8,0,47.0,13,1,0,0,0,A
1,3,71,9,0,48.0,13,0,0,0,0,A
1,3,71,10,0,49.0,13,0,0,0,0,A
1,3,72,8,0,50.0,13,1,0,0,0,A
1,3,71,10,0,51.0,13,0,0,0,0,A
1,3,72,9,0,52.0,13,1,0,0,0,A
1,2,72,9,0,53.0,13,1,0,0,0,A
1,2,72,9,0,54.0,13,1,0,0,0,A
1,2,72,9,0,55.0,13,1,0,0,0,A
1,2,73,9,0,56.0,12,1,0,0,0,A
1,3,72,8,0,57.0,12,1,0,0,0,A
1,3,72,8,0,58.0,12,1,0,0,0,A
1,3,72,8,0,59.0,13,1,0,0,0,A
1,3,72,8,0,60.0,13,1,0,0,0,A
1,3,72,8,0,61.0,13,1,0,0,0,A
1,3,71,8,0,62.0,13,1,0,0,0,A
1,3,71,9,0,63.0,13,0,0,0,0,A
1,3,71,9,0,64.0,14,0,0,0,0,A
1,3,72,9,0,65.0,13,0,0,0,0,A
1,3,71,9,0,66.0,13,1,0,0,0,A
1,3,72,9,0,67.0,13,0,0,0,0,A
1,3,72,9,0,68.0,13,0,0,0,0,A
1,3,72,9,0,69.0,13,0,0,0,0,A
1,3,71,10,0,70.0,13,0,0,0,0,A
1,3,71,7,0,71.0,14,1,0,0,0,B
1,3,71,8,0,72.0,13,1,0,0,0,B
1,3,73,7,0,73.0,13,1,0,0,0,B
1,3,72,7,0,74.0,13,1,0,0,0,B
1,3,73,7,0,75.0,13,1,0,0,0,B
1,3,73,7,0,76.0,13,1,0,0,0,B
1,3,72,8,0,77.0,13,1,0,0,0,B
1,3,72,8,0,78.0,13,1,0,0,0,B
1,3,72,7,0,79.0,13,1,0,0,0,B
1,3,72,7,0,80.0,12,1,0,0,0,B
1,3,72,7,0,81.0,12,2,0,0,0,B
1,3,73,7,0,82.0,13,1,0,0,0,B
1,3,72,8,0,83.0,13,1,0,0,0,B
1,3,72,8,0,84.0,13,1,0,0,0,B
1,3,72,7,0,85.0,14,2,1,0,0,B
1,3,72,8,0,86.0,13,1,0,0,0,B
1,3,73,8,0,87.0,13,1,0,0,0,B
1,3,72,8,0,88.0,13,1,0,0,0,B
1,3,72,8,0,89.0,13,1,0,0,0,B
1,3,73,8,0,90.0,12,1,0,0,0,B
1,3,72,8,0,91.0,12,1,0,0,0,B
1,3,73,8,0,92.0,12,1,0,0,0,B
1,3,73,8,0,93.0,13,1,0,0,0,B
1,3,73,8,0,94.0,13,1,0,0,0,B
1,3,73,8,0,95.0,12,1,0,0,0,B
1,3,72,8,0,96.0,13,1,0,0,0,B
1,3,72,9,0,97.0,13,1,0,0,0,B
1,3,73,8,0,98.0,12,1,0,0,0,B
1,2,73,8,0,99.0,12,1,0,0,0,B
1,2,72,8,0,100.0,12,1,0,0,0,B
1,2,73,8,0,101.0,12,1,0,0,0,B
1,2,72,9,0,102.0,12,1,0,0,0,B
1,2,73,9,0,103.0,12,0,0,0,0,B
1,3,70,11,0,104.0,13,0,0,0,0,B
1,2,71,10,0,105.0,13,1,0,0,0,B
1,0,72,13,0,106.0,11,1,0,0,0,B
1,0,69,13,0,107.0,10,2,0,3,0,B
1,0,70,16,0,108.0,12,1,0,0,0,B
1,0,72,11,0,109.0,14,1,0,0,0,B
1,0,74,10,0,110.0,13,0,0,0,0,B
1,0,73,14,0,111.0,11,0,0,0,0,B
1,0,73,14,0,112.0,11,0,0,0,0,B
1,0,72,14,0,113.0,12,0,0,0,0,B
1,3,72,8,0,114.0,13,1,0,0,0,B
1,3,72,8,0,115.0,13,1,0,0,0,B
1,3,72,8,0,116.0,13,1,0,0,0,B
1,3,72,8,0,117.0,13,1,0,0,0,B
1,3,72,7,0,118.0,13,1,0,0,0,B
1,3,72,8,0,119.0,13,1,0,0,0,B
1,3,72,7,0,120.0,13,1,0,0,0,B
1,3,72,8,0,121.0,13,1,0,0,0,B
1,3,72,8,0,122.0,12,1,0,0,0,B
1,3,72,8,0,123.0,13,1,0,0,0,B
